	name	latitude	longitude	scores	category	price	address
22278	Kee Club(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.218557	121.46293	40.0	酒吧	759.0	卢湾区淮海中路796号3-4楼
22431	柏悦酒店大堂酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.234571	121.507965	40.0	酒吧	160.0	浦东新区世纪大道100号上海环球金融中心上海柏悦酒店87楼
22593	I Love Shanghai Lounge(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.22828	121.44379	30.0	酒吧	84.0	静安区新闸路1788号3楼
22781	03迪斯科(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.155306	121.348	30.0	酒吧	40.0	闵行区七莘路3155号七宝星钻城4楼
23178	酒池星座(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.21113	121.46401	50.0	酒吧	106.0	卢湾区永嘉路31号2楼
23504	世纪100酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.234571	121.507965	40.0	酒吧	167.0	浦东新区世纪大道100号上海环球金融中心上海柏悦酒店92楼
23964	TORRES LA VINOTECA(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.216112	121.4549	35.0	酒吧	255.0	徐汇区东湖路20号
24595	南十字星(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.213854	121.4516	45.0	酒吧	103.0	徐汇区淮海中路1276号
24807	BIN74(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.210793	121.44326	40.0	酒吧	99.0	徐汇区复兴西路74号
25301	哥莉酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.20413	121.44574	30.0	酒吧	165.0	徐汇区衡山路
25405	北外滩之夜酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.247427	121.4895	35.0	酒吧	133.0	虹口区吴淞路205号恒升半岛国际酒店26楼B
26594	蓝蚂酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.281658	121.507416	30.0	酒吧	42.0	杨浦区彰武路18号同济联合广场E楼216室
26973	Nancy's Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.1916	121.38859	30.0	酒吧	80.0	闵行区虹梅路3338弄2号虹梅休闲街12号
27789	CLUB CD SOHO(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.206245	121.44747	35.0	酒吧	351.0	徐汇区衡山路4号领馆广场内
27904	搜浩No.88酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.217154	121.45251	35.0	酒吧	281.0	徐汇区富民路291号悟锦世纪大厦2楼
28405	Bar 99(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.19116	121.41228	30.0	酒吧	94.0	长宁区古羊路427号3楼
28532	B&C BAR(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.23549	121.4447	30.0	酒吧	45.0	静安区西康路685号
28730	杰克的酒窝(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.216927	121.48236	45.0	酒吧	69.0	黄浦区肇周路76号
28731	Free Soul(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.214916	121.442276	30.0	酒吧	48.0	徐汇区长乐路1221号
29267	Southern Belle (美之美汁咖啡酒吧)(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.2186	121.45439	40.0	酒吧	97.0	卢湾区长乐路433号
29342	Zpark Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.21896	121.41706	45.0	酒吧	89.0	长宁区长宁路1018号龙之梦万丽酒店25楼
29535	谊桥咖啡酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.244537	121.49065	35.0	酒吧	54.0	虹口区大名路30号
29624	葡道(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.206928	121.43943	45.0	酒吧	108.0	徐汇区武康路376号武康庭102室
29653	Ricky's Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.240705	121.531265	40.0	酒吧	102.0	浦东新区浦东大道930号
35747	炫吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.114092	121.2246	35.0	酒吧	88.0	松江区泗陈公路3388弄东方佘山索菲特大酒店2楼
35880	The Red Moon Pub(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.209976	121.557884	30.0	酒吧	130.0	浦东新区梅花路949号
36170	The Chalet(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.207672	121.45597	45.0	酒吧	84.0	徐汇区永嘉路385弄
36360	典尚红酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.195408	121.40141	45.0	酒吧	115.0	长宁区黄金城道701号
37365	开巴(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.207727	121.423836	40.0	酒吧	84.0	长宁区定西路739号
37449	c&c餐厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.211922	121.43085	30.0	酒吧	22.0	长宁区延安西路1066号瑞峰公寓酒店1楼
37618	Dada(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.2052	121.43097	35.0	酒吧	77.0	长宁区幸福路115号
38301	FULL HOUSE coffee bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.204561	121.44679	35.0	酒吧	58.0	徐汇区衡山路298-2号临
38305	西玛XIMA(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.203447	121.44601	30.0	酒吧	82.0	徐汇区衡山路703号
38887	岛pub(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.221067	121.469894	30.0	酒吧	50.0	卢湾区雁荡路6号
40117	查理酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.202618	121.42907	30.0	酒吧	95.0	长宁区番禺路400号
40270	斯格威铂尔曼Blu Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.204308	121.471245	35.0	酒吧	81.0	卢湾区打浦路15号斯格威铂尔曼大酒店50楼
40280	半岛酒店引航酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.2415	121.48901	40.0	酒吧	207.0	黄浦区中山东一路32号半岛酒店1楼
40287	半岛酒店玲珑酒廊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.241537	121.489235	40.0	酒吧	145.0	黄浦区中山东一路32号半岛酒店B1楼
41450	52Riverside(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.19574	121.69318	35.0	酒吧	61.0	浦东新区民贤路52号
41511	SBS191(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.205078	121.44708	30.0	酒吧	92.0	徐汇区衡山路191号
41655	长吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.222265	121.44812	45.0	酒吧	163.0	静安区常德路1号璞丽酒店1楼
41873	藏宝(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.226645	121.43539	35.0	酒吧	78.0	静安区武定西路1180-2号
42048	HONEY酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.214985	121.45609	30.0	酒吧	187.0	徐汇区淮海中路1045号新淮海国际广场2楼
42445	蓝堡啤酒花园(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.195398	121.39966	40.0	酒吧	97.0	长宁区黄金城道706号
42735	HIGHLAND(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.017443	121.43238	35.0	酒吧	33.0	闵行区东川路847号
42783	el CÓCTEL(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.211369	121.44399	50.0	酒吧	121.0	徐汇区永福路47号2楼
43111	2：0 one piece bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.158524	121.42093	35.0	酒吧	50.0	徐汇区钦州南路559号
43631	这儿酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.113686	121.05378	40.0	酒吧	48.0	青浦区朱家角镇西井街118号
43756	RICE BAR(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.204964	121.42465	35.0	酒吧	50.0	长宁区法华镇路532号
44118	Rhumerie Bounty(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.233444	121.449905	35.0	酒吧	76.0	静安区武定路550号
50555	丽思卡尔顿行政酒廊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.236633	121.50132	40.0	酒吧	448.0	浦东新区世纪大道8号上海国金中心丽思卡尔顿酒店49楼
51112	The Camel Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.208942	121.4521	40.0	酒吧	104.0	徐汇区岳阳路1号
51162	The Music Room(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.234596	121.5077	35.0	酒吧	156.0	浦东新区世纪大道100号上海环球金融中心92楼
54118	瑞Red Lounge(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.190521	121.39423	30.0	酒吧	159.0	长宁区虹许路788号名都城俱乐部后廊
54335	酒藏坊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.231693	121.45218	40.0	酒吧	116.0	静安区陕西北路527号
54448	Dark Horse(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.255526	121.556854	0.0	酒吧	62.0	浦东新区浦东大道2402号
